mm_name,is_thumb,mm_label,mm_detail
news_current,TRUE,News is current?,NEWS file contains entry for current version number
has_vignettes,TRUE,Presence of vignettes?,The package has Vignettes
has_bug_reports_url,TRUE,Bugs publicly documented?,
bugs_status,FALSE,Bug closure,Percent of last 30 bugs closed
export_help,FALSE,Documentation,Percent of exported objects documented
has_website,TRUE,Associated website URL?,
has_maintainer,TRUE,Has a maintainer?,
has_news,TRUE,Has NEWS?,The package has at least one NEWS file
has_source_control,TRUE,Source code public?,
